N;A1;A2;A3;A4;A5;A6;A7;A8;A9;B1;B2;B3;B4;B5;B6;B7;B8;B9
9;765;765;765;765;765;765;765;765;765;765;684;612;531;450;369;297;216;135
9;765;783;801;819;837;846;864;882;900;135;171;216;252;297;333;369;414;450
9;450;486;531;567;612;648;684;729;765;900;882;864;846;837;819;801;783;765
9;450;486;531;567;612;648;684;729;765;900;801;711;612;522;423;324;234;135
9;900;846;792;729;675;621;567;504;450;450;504;567;621;675;729;792;846;900
9;900;882;864;846;837;819;801;783;765;450;486;531;567;612;648;684;729;765
9;900;864;837;801;765;729;702;666;630;450;504;567;621;675;729;792;846;900
9;810;819;837;846;855;864;882;891;900;900;891;882;864;855;846;837;819;810
9;900;846;792;729;675;621;567;504;450;630;666;702;729;765;801;837;864;900
9;900;891;882;864;855;846;837;819;810;630;666;702;729;765;801;837;864;900
9;630;666;702;729;765;801;837;864;900;900;864;837;801;765;729;702;666;630
9;450;504;567;621;675;729;792;846;900;900;891;882;864;855;846;837;819;810
9;450;504;567;621;675;729;792;846;900;900;846;792;729;675;621;567;504;450
9;900;864;837;801;765;729;702;666;630;810;819;837;846;855;864;882;891;900
9;810;819;837;846;855;864;882;891;900;900;846;792;729;675;621;567;504;450
